中国电信-广东-酒店,#genre#
CCTV1,http://59.32.97.44:9901/tsfile/live/0001_1.m3u8
CCTV2,http://59.32.97.44:9901/tsfile/live/0002_1.m3u8
CCTV3,http://59.32.97.44:9901/tsfile/live/0003_1.m3u8
CCTV4,http://59.32.97.44:9901/tsfile/live/0004_1.m3u8
CCTV5,http://59.32.97.44:9901/tsfile/live/0005_1.m3u8
CCTV6,http://59.32.97.44:9901/tsfile/live/0006_1.m3u8
CCTV7,http://59.32.97.44:9901/tsfile/live/0007_1.m3u8
CCTV8,http://59.32.97.44:9901/tsfile/live/0008_1.m3u8
CCTV9,http://59.32.97.44:9901/tsfile/live/0009_1.m3u8
CCTV10,http://59.32.97.44:9901/tsfile/live/0010_1.m3u8
CCTV11,http://59.32.97.44:9901/tsfile/live/0011_1.m3u8
CCTV12,http://59.32.97.44:9901/tsfile/live/0012_1.m3u8
CCTV13,http://59.32.97.44:9901/tsfile/live/0013_1.m3u8
CCTV14,http://59.32.97.44:9901/tsfile/live/0014_1.m3u8
CCTV15,http://59.32.97.44:9901/tsfile/live/0015_1.m3u8
CCTV17,http://59.32.97.44:9901/tsfile/live/0016_1.m3u8
广东卫视,http://59.32.97.44:9901/tsfile/live/0017_1.m3u8
湖南卫视,http://59.32.97.44:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://59.32.97.44:9901/tsfile/live/0124_1.m3u8
江苏卫视,http://59.32.97.44:9901/tsfile/live/0127_1.m3u8
上海卫视,http://59.32.97.44:9901/tsfile/live/0107_1.m3u8
安徽卫视,http://59.32.97.44:9901/tsfile/live/0130_1.m3u8
河南卫视,http://59.32.97.44:9901/tsfile/live/0139_1.m3u8
江西卫视,http://59.32.97.44:9901/tsfile/live/0138_1.m3u8
深圳卫视,http://59.32.97.44:9901/tsfile/live/0126_1.m3u8
云南卫视,http://59.32.97.44:9901/tsfile/live/0119_1.m3u8
陕西卫视,http://59.32.97.44:9901/tsfile/live/0136_1.m3u8
山西卫视,http://59.32.97.44:9901/tsfile/live/0118_1.m3u8
青海卫视,http://59.32.97.44:9901/tsfile/live/0140_1.m3u8
海南卫视,http://59.32.97.44:9901/tsfile/live/1000_1.m3u8
宁夏卫视,http://59.32.97.44:9901/tsfile/live/0112_1.m3u8
西藏卫视,http://59.32.97.44:9901/tsfile/live/0111_1.m3u8
新疆卫视,http://59.32.97.44:9901/tsfile/live/0110_1.m3u8
甘肃卫视,http://59.32.97.44:9901/tsfile/live/0141_1.m3u8
兵团卫视,http://59.32.97.44:9901/tsfile/live/0115_1.m3u8
厦门卫视,http://59.32.97.44:9901/tsfile/live/0129_1.m3u8
三沙卫视,http://59.32.97.44:9901/tsfile/live/1001_1.m3u8
吉林延边卫视,http://59.32.97.44:9901/tsfile/live/1002_1.m3u8
北京卫视,http://59.32.97.44:9901/tsfile/live/0122_1.m3u8
辽宁卫视,http://59.32.97.44:9901/tsfile/live/0121_1.m3u8
广东体育,http://59.32.97.44:9901/tsfile/live/1007_1.m3u8
广东影视,http://59.32.97.44:9901/tsfile/live/1009_1.m3u8
广东少儿,http://59.32.97.44:9901/tsfile/live/1010_1.m3u8
广东移动,http://59.32.97.44:9901/tsfile/live/1013_1.m3u8
现代教育,http://59.32.97.44:9901/tsfile/live/1014_1.m3u8
卡酷少儿,http://59.32.97.44:9901/tsfile/live/1017_1.m3u8
金鹰卡通,http://59.32.97.44:9901/tsfile/live/1018_1.m3u8
哈哈炫动,http://59.32.97.44:9901/tsfile/live/1019_1.m3u8
内蒙古,http://59.32.97.44:9901/tsfile/live/1020_1.m3u8
财富天下,http://59.32.97.44:9901/tsfile/live/1021_1.m3u8
国学,http://59.32.97.44:9901/tsfile/live/1023_1.m3u8
佳嘉卡通,http://59.32.97.44:9901/tsfile/live/1031_1.m3u8
CETV1,http://59.32.97.44:9901/tsfile/live/1032_1.m3u8
CETV2,http://59.32.97.44:9901/tsfile/live/1033_1.m3u8
CETV4,http://59.32.97.44:9901/tsfile/live/1034_1.m3u8
CGTN今日世界,http://59.32.97.44:9901/tsfile/live/1036_1.m3u8
CETV早期教育,http://59.32.97.44:9901/tsfile/live/1038_1.m3u8
CCTV风云音乐,http://59.32.97.44:9901/tsfile/live/1039_1.m3u8
CCTV第一剧场,http://59.32.97.44:9901/tsfile/live/1040_1.m3u8
CCTV央视文化精品,http://59.32.97.44:9901/tsfile/live/1041_1.m3u8
CCTV风云剧场,http://59.32.97.44:9901/tsfile/live/1042_1.m3u8
广东珠江台,http://59.32.97.44:9901/tsfile/live/1003_1.m3u8
大湾区卫视,http://59.32.97.44:9901/tsfile/live/1004_1.m3u8
客家生活,http://59.32.97.44:9901/tsfile/live/1005_1.m3u8
黑龙江卫视,http://59.32.97.44:9901/tsfile/live/0143_1.m3u8
CCTV怀旧剧场,http://59.32.97.44:9901/tsfile/live/1006_1.m3u8
CCTV地理世界,http://59.32.97.44:9901/tsfile/live/1008_1.m3u8
CCTV高尔夫.网球,http://59.32.97.44:9901/tsfile/live/1011_1.m3u8
CGTN英语,http://59.32.97.44:9901/tsfile/live/1012_1.m3u8
CGTN西班牙语,http://59.32.97.44:9901/tsfile/live/1015_1.m3u8
广西卫视,http://59.32.97.44:9901/tsfile/live/0113_1.m3u8
东南卫视,http://59.32.97.44:9901/tsfile/live/0137_1.m3u8
4K超,http://59.32.97.44:9901/tsfile/live/1022_1.m3u8
影迷电影,http://59.32.97.44:9901/tsfile/live/1024_1.m3u8
老故事,http://59.32.97.44:9901/tsfile/live/1025_1.m3u8
CCTV12,http://59.32.97.44:9901/tsfile/live/0012_2.m3u8
大湾区卫视,http://59.32.97.44:9901/tsfile/live/1026_1.m3u8
佳嘉卡通,http://59.32.97.44:9901/tsfile/live/1027_1.m3u8
茶,http://59.32.97.44:9901/tsfile/live/1028_1.m3u8
岭南戏曲,http://59.32.97.44:9901/tsfile/live/1029_1.m3u8
翡翠台,http://59.32.97.44:9901/tsfile/live/1035_1.m3u8
明珠台,http://59.32.97.44:9901/tsfile/live/1030_1.m3u8
凤凰中文,http://59.32.97.44:9901/tsfile/live/1037_1.m3u8
新动漫,http://59.32.97.44:9901/tsfile/live/1052_1.m3u8
