中国电信-湖南-酒店,#genre#
CCTV1,http://218.76.32.193:9901/tsfile/live/0001_1.m3u8
CCTV2,http://218.76.32.193:9901/tsfile/live/0002_1.m3u8
CCTV3,http://218.76.32.193:9901/tsfile/live/0003_1.m3u8
CCTV4,http://218.76.32.193:9901/tsfile/live/0004_1.m3u8
CCTV5,http://218.76.32.193:9901/tsfile/live/0005_1.m3u8
CCTV6,http://218.76.32.193:9901/tsfile/live/0006_1.m3u8
CCTV7,http://218.76.32.193:9901/tsfile/live/0007_1.m3u8
CCTV8,http://218.76.32.193:9901/tsfile/live/0008_1.m3u8
CCTV9,http://218.76.32.193:9901/tsfile/live/0009_1.m3u8
CCTV10,http://218.76.32.193:9901/tsfile/live/0010_1.m3u8
CCTV12,http://218.76.32.193:9901/tsfile/live/0012_1.m3u8
CCTV13,http://218.76.32.193:9901/tsfile/live/0013_1.m3u8
CCTV14,http://218.76.32.193:9901/tsfile/live/0014_1.m3u8
CCTV15,http://218.76.32.193:9901/tsfile/live/0015_1.m3u8
CCTV5+,http://218.76.32.193:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://218.76.32.193:9901/tsfile/live/1000_1.m3u8
江苏卫视,http://218.76.32.193:9901/tsfile/live/0127_1.m3u8
浙江卫视,http://218.76.32.193:9901/tsfile/live/1002_1.m3u8
安徽卫视,http://218.76.32.193:9901/tsfile/live/1003_1.m3u8
北京卫视,http://218.76.32.193:9901/tsfile/live/1004_1.m3u8
天津卫视,http://218.76.32.193:9901/tsfile/live/1005_1.m3u8
上海卫视,http://218.76.32.193:9901/tsfile/live/1006_1.m3u8
江西卫视,http://218.76.32.193:9901/tsfile/live/1007_1.m3u8
深圳卫视,http://218.76.32.193:9901/tsfile/live/0127_2.m3u8
辽宁卫视,http://218.76.32.193:9901/tsfile/live/0124_1.m3u8
东南卫视,http://218.76.32.193:9901/tsfile/live/0122_1.m3u8
旅游卫视,http://218.76.32.193:9901/tsfile/live/0135_1.m3u8
广东卫视,http://218.76.32.193:9901/tsfile/live/0107_1.m3u8
湖北卫视,http://218.76.32.193:9901/tsfile/live/0126_1.m3u8
广西卫视,http://218.76.32.193:9901/tsfile/live/0131_1.m3u8
山东卫视,http://218.76.32.193:9901/tsfile/live/0131_2.m3u8
湖南经视,http://218.76.32.193:9901/tsfile/live/1011_1.m3u8
湖南都市,http://218.76.32.193:9901/tsfile/live/1012_1.m3u8
湖南电视剧,http://218.76.32.193:9901/tsfile/live/1013_1.m3u8
湖南电影,http://218.76.32.193:9901/tsfile/live/1014_1.m3u8
金鹰纪实,http://218.76.32.193:9901/tsfile/live/1001_1.m3u8
金鹰卡通,http://218.76.32.193:9901/tsfile/live/1009_1.m3u8
卡酷少儿,http://218.76.32.193:9901/tsfile/live/1008_1.m3u8
湖南娱乐,http://218.76.32.193:9901/tsfile/live/1015_1.m3u8
家庭影院,http://218.76.32.193:9901/tsfile/live/1018_1.m3u8
电影,http://218.76.32.193:9901/tsfile/live/1019_1.m3u8
动作电影,http://218.76.32.193:9901/tsfile/live/1020_1.m3u8
