中国联通-湖北-酒店,#genre#
CCTV1,http://58.19.38.162:9901/tsfile/live/0001_1.m3u8
CCTV2,http://58.19.38.162:9901/tsfile/live/0002_1.m3u8
CCTV3,http://58.19.38.162:9901/tsfile/live/0003_1.m3u8
CCTV4,http://58.19.38.162:9901/tsfile/live/1004_1.m3u8
CCTV5,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8
CCTV6,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8
CCTV7,http://58.19.38.162:9901/tsfile/live/1007_1.m3u8
CCTV8,http://58.19.38.162:9901/tsfile/live/1008_1.m3u8
CCTV9,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8
CCTV10,http://58.19.38.162:9901/tsfile/live/1010_1.m3u8
CCTV11,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8
CCTV12,http://58.19.38.162:9901/tsfile/live/0012_1.m3u8
CCTV13,http://58.19.38.162:9901/tsfile/live/1013_1.m3u8
CCTV14,http://58.19.38.162:9901/tsfile/live/0014_1.m3u8
CCTV15,http://58.19.38.162:9901/tsfile/live/1015_1.m3u8
CCTV17,http://58.19.38.162:9901/tsfile/live/1016_1.m3u8
CCTV5+,http://58.19.38.162:9901/tsfile/live/1021_1.m3u8
湖北卫视,http://58.19.38.162:9901/tsfile/live/1018_1.m3u8
湖南卫视,http://58.19.38.162:9901/tsfile/live/1022_1.m3u8
江苏卫视,http://58.19.38.162:9901/tsfile/live/1023_1.m3u8
浙江卫视,http://58.19.38.162:9901/tsfile/live/1024_1.m3u8
北京卫视,http://58.19.38.162:9901/tsfile/live/1026_1.m3u8
上海卫视,http://58.19.38.162:9901/tsfile/live/1039_1.m3u8
深圳卫视,http://58.19.38.162:9901/tsfile/live/1027_1.m3u8
东南卫视,http://58.19.38.162:9901/tsfile/live/1033_1.m3u8
广东卫视,http://58.19.38.162:9901/tsfile/live/1017_1.m3u8
CCTV风云足球,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8
CHC电影,http://58.19.38.162:9901/tsfile/live/0119_1.m3u8
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1012_1.m3u8
CHC家庭电影,http://58.19.38.162:9901/tsfile/live/1031_1.m3u8
